day,recipeId,userId,labelId
2022-11-23 00:00:00,8,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-24 00:00:00,11,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-25 00:00:00,19,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-21 00:00:00,12,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-22 00:00:00,10,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-01 00:00:00,11,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-29 00:00:00,17,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-01 00:00:00,12,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-02 00:00:00,20,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-05 00:00:00,20,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-05 00:00:00,17,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-05 00:00:00,16,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-06 00:00:00,19,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-07 00:00:00,4,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-08 00:00:00,11,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-09 00:00:00,15,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-08 00:00:00,12,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-07 00:00:00,8,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-08 00:00:00,10,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-17 00:00:00,26,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-15 00:00:00,24,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-12-14 00:00:00,30,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-01-09 00:00:00,11,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-01-09 00:00:00,12,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-01-08 00:00:00,18,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-01-09 00:00:00,21,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-23 00:00:00,8,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-24 00:00:00,27,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-28 00:00:00,16,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-24 00:00:00,15,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-24 00:00:00,25,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-24 00:00:00,19,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2022-11-30 00:00:00,4,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-24 00:00:00,14,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-25 00:00:00,8,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-26 00:00:00,24,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
2024-09-27 00:00:00,31,zQQ2136sKAeML90RHmB9hLM6Vin8tbpm,
